Quote|Author|Source Alt|Source Link|Context
Je suis maoïste, [...] un bon programme c'est ce qui marche.|Emmanuel Macron|Le Parisien, 02/03/2017|https://www.leparisien.fr/politique/le-projet-detaille-d-emmanuel-macron-pour-la-presidentielle-02-03-2017-6724902.php|
Le capitalisme ultra libéral et financier, trop souvent guidé par le court terme et l’avidité de quelques uns, va vers sa fin.|Emmanuel Macron|Voeux aux français, 31/11/2018|https://www.vie-publique.fr/discours/207626-declaration-de-m-emmanuel-macron-president-de-la-republique-sur-les-d|
Ma matrice intellectuelle et mon parcours doivent beaucoup à Jean-Pierre Chevènement et à une pensée républicaine|Emmanuel Macron|L'Express, 22/12/2020|https://www.lexpress.fr/politique/exclusif-identite-crise-sanitaire-complotisme-macron-l-entretien-confession_2141234.html|
Mon objectif, c'est de sortir tous les gens qui n'ont rien à faire là.|Emmanuel Macron|Valeurs Actuelles, 30/10/2019|https://www.liberation.fr/politiques/2019/10/30/dans-valeurs-actuelles-macron-chasse-tres-a-droite_1760631|
L'Islam est une religion qui vit une crise aujourd’hui, partout dans le monde|Emmanuel Macron|AFP, 02/10/2020|https://www.vie-publique.fr/discours/276537-emmanuel-macron-02102020-separatismes|
Je ne fais aucun raccourci, mais je n'occulte aucune page de l'Histoire. Le maréchal Pétain a été pendant la Première Guerre mondiale aussi un grand soldat.|Emmanuel Macron|BFMTV, 07/11/2018]|https://www.dailymotion.com/video/x6wssad|
Ce n’est pas le contribuable français qui paiera cette dette, ce sont des [...] grandes entreprises internationales, parfois européennes, qui aujourd'hui ne sont pas assez sollicitées et qui vont payer progressivement cette dette par la fiscalité européenne que nous allons bâtir.|Emmanuel Macron|TF1-LC1, 20h, 14/07/2020|https://www.facebook.com/TF1Info/videos/591151935108688/|
Moi aussi je suis Gilet jaune|Emmanuel Macron|Le Parisien, 01/02/2019|https://www.leparisien.fr/politique/macron-si-etre-gilet-jaune-c-est-vouloir-que-le-travail-paie-mieux-moi-aussi-je-suis-gilet-jaune-01-02-2019-8001573.php|Si être Gilet jaune, c’est vouloir que le travail paie mieux, moi aussi je suis Gilet jaune
Nous sommes de vrais populistes. Nous sommes avec le peuple tous les jours|Emmanuel Macron|A l'Élysée devant les maires de France, 21/11/2018|https://www.publicsenat.fr/actualites/non-classe/gilets-jaunes-finances-locales-decentralisation-ce-qu-il-faut-retenir-du-discours|
Je m'inclus dans les Gaulois réfractaires|Emmanuel Macron|Figaro, 22/12/2020|https://www.lefigaro.fr/politique/complotisme-integration-petain-et-privilege-blanc-les-grands-sujets-de-l-interview-de-macron-a-l-express-20201222|
